id;name;group;color;width;height;thumbnail;cadUrl;description;defaultParams;autodeskInventor;price;notification;
custom-1756359050526;mymodule;custom;#1e4670;2;1;icons/custom-1756359050526.svg;;test;"{""height"":50,""drawingElements"":[{""id"":""element-1756359039561-p5n8xfca2"",""type"":""freehand"",""points"":[77.90103149414062,29.928802490234375,76.90103149414062,29.928802490234375,76.90103149414062,29.928802490234375,76.90103149414062,29.928802490234375,74.90103149414062,29.928802490234375,72.90103149414062,29.928802490234375,69.90103149414062,29.928802490234375,66.90103149414062,28.928802490234375,64.90103149414062,28.928802490234375,63.901031494140625,29.928802490234375,62.901031494140625,30.928802490234375,62.901031494140625,32.928802490234375,62.901031494140625,33.928802490234375,62.901031494140625,36.928802490234375,62.901031494140625,39.928802490234375,62.901031494140625,41.928802490234375,62.901031494140625,43.928802490234375,62.901031494140625,46.928802490234375,62.901031494140625,47.928802490234375,62.901031494140625,48.928802490234375,62.901031494140625,49.928802490234375,62.901031494140625,50.928802490234375,63.901031494140625,50.928802490234375,65.90103149414062,50.928802490234375,70.90103149414062,50.928802490234375,77.90103149414062,50.928802490234375,84.90103149414062,49.928802490234375,95.90103149414062,45.928802490234375,107.90103149414062,38.928802490234375,114.90103149414062,33.928802490234375,120.90103149414062,28.928802490234375,128.90103149414062,20.928802490234375,134.90103149414062,15.928802490234375,140.90103149414062,6.928802490234375,141.90103149414062,3.928802490234375,142.90103149414062,0.928802490234375,82.90103149414062,-1.071197509765625,72.90103149414062,13.928802490234375,69.90103149414062,17.928802490234375,67.90103149414062,21.928802490234375,64.90103149414062,24.928802490234375,62.901031494140625,28.928802490234375,61.901031494140625,31.928802490234375,59.901031494140625,32.928802490234375,58.901031494140625,34.928802490234375,57.901031494140625,35.928802490234375,56.901031494140625,36.928802490234375,53.901031494140625,37.928802490234375,52.901031494140625,38.928802490234375,50.901031494140625,39.928802490234375,48.901031494140625,39.928802490234375,46.901031494140625,39.928802490234375,43.901031494140625,39.928802490234375,41.901031494140625,39.928802490234375,37.901031494140625,39.928802490234375,33.901031494140625,39.928802490234375,29.901031494140625,39.928802490234375,26.901031494140625,39.928802490234375,22.901031494140625,39.928802490234375,18.901031494140625,39.928802490234375,15.901031494140625,39.928802490234375,13.901031494140625,39.928802490234375,11.901031494140625,39.928802490234375,9.901031494140625,39.928802490234375,8.901031494140625,39.928802490234375,8.901031494140625,38.928802490234375,7.901031494140625,38.928802490234375,7.901031494140625,38.928802490234375,7.901031494140625,37.928802490234375,7.901031494140625,36.928802490234375,7.901031494140625,35.928802490234375,10.901031494140625,33.928802490234375,17.901031494140625,30.928802490234375,27.901031494140625,27.928802490234375,37.901031494140625,24.928802490234375,48.901031494140625,22.928802490234375,57.901031494140625,21.928802490234375,64.90103149414062,21.928802490234375,71.90103149414062,21.928802490234375,79.90103149414062,21.928802490234375,89.90103149414062,21.928802490234375,92.90103149414062,21.928802490234375,95.90103149414062,22.928802490234375,99.90103149414062,23.928802490234375,103.90103149414062,25.928802490234375,107.90103149414062,28.928802490234375,111.90103149414062,30.928802490234375,115.90103149414062,32.928802490234375,119.90103149414062,35.928802490234375,123.90103149414062,38.928802490234375,126.90103149414062,40.928802490234375,130.90103149414062,43.928802490234375,132.90103149414062,45.928802490234375,134.90103149414062,46.928802490234375,135.90103149414062,47.928802490234375,136.90103149414062,47.928802490234375,137.90103149414062,48.928802490234375,137.90103149414062,48.928802490234375,138.90103149414062,48.928802490234375,139.90103149414062,48.928802490234375,139.90103149414062,48.928802490234375],""stroke"":""#000000"",""strokeWidth"":2}],""isCustom"":true}";;;;
custom-1756359230440;Twinlens;custom;#1e4670;2;1;icons/custom-1756359230440.svg;;test;"{""height"":50,""drawingElements"":[{""id"":""element-1756359220622-h1rirpeyn"",""type"":""ellipse"",""x"":38.8828125,""y"":36.14453125,""radiusX"":13,""radiusY"":31,""stroke"":""#000000"",""strokeWidth"":2},{""id"":""element-1756359222294-6ocbq3fh1"",""type"":""ellipse"",""x"":117.8828125,""y"":37.14453125,""radiusX"":16,""radiusY"":30,""stroke"":""#000000"",""strokeWidth"":2}],""isCustom"":true}";;;;
custom-1756383116740;phase mask module ;custom;#1e4670;1;1;icons/custom-1756383116740.svg;;,hglkh;"{""height"":50,""drawingElements"":[{""id"":""element-1756383097859-unczzvwht"",""type"":""freehand"",""points"":[35.8828125,10.14453125,35.8828125,10.14453125,35.8828125,10.14453125,35.8828125,10.14453125,35.8828125,10.14453125,35.8828125,10.14453125,36.8828125,11.14453125,36.8828125,11.14453125,36.8828125,11.14453125,36.8828125,12.14453125,36.8828125,12.14453125,36.8828125,12.14453125,36.8828125,12.14453125,36.8828125,13.14453125,36.8828125,13.14453125,36.8828125,13.14453125,36.8828125,13.14453125,36.8828125,14.14453125,35.8828125,14.14453125,35.8828125,14.14453125,35.8828125,15.14453125,35.8828125,15.14453125,35.8828125,15.14453125,34.8828125,15.14453125,34.8828125,15.14453125,34.8828125,16.14453125,34.8828125,16.14453125,34.8828125,16.14453125,34.8828125,16.14453125,34.8828125,16.14453125,34.8828125,17.14453125,34.8828125,17.14453125,34.8828125,17.14453125,34.8828125,17.14453125,34.8828125,17.14453125,34.8828125,18.14453125,34.8828125,18.14453125,34.8828125,18.14453125,34.8828125,19.14453125,34.8828125,19.14453125,35.8828125,20.14453125,35.8828125,20.14453125,35.8828125,20.14453125,35.8828125,20.14453125,35.8828125,21.14453125,35.8828125,21.14453125,36.8828125,21.14453125,36.8828125,22.14453125,36.8828125,22.14453125,36.8828125,22.14453125,36.8828125,22.14453125,36.8828125,23.14453125,36.8828125,23.14453125,36.8828125,23.14453125,36.8828125,23.14453125,36.8828125,23.14453125],""stroke"":""#000000"",""strokeWidth"":2},{""id"":""element-1756383099323-8i6dofn79"",""type"":""freehand"",""points"":[28.8828125,38.14453125,28.8828125,38.14453125],""stroke"":""#000000"",""strokeWidth"":2},{""id"":""element-1756383099908-baa2qtz8n"",""type"":""freehand"",""points"":[36.8828125,26.14453125,36.8828125,26.14453125,36.8828125,26.14453125,36.8828125,26.14453125,35.8828125,27.14453125,35.8828125,27.14453125,34.8828125,27.14453125,34.8828125,28.14453125,34.8828125,28.14453125,33.8828125,29.14453125,33.8828125,29.14453125,33.8828125,30.14453125,33.8828125,30.14453125,33.8828125,30.14453125,33.8828125,31.14453125,33.8828125,31.14453125,33.8828125,32.14453125,33.8828125,32.14453125,33.8828125,32.14453125,33.8828125,32.14453125,33.8828125,33.14453125,33.8828125,33.14453125,34.8828125,33.14453125,34.8828125,33.14453125,35.8828125,33.14453125,35.8828125,34.14453125,36.8828125,34.14453125,36.8828125,34.14453125,36.8828125,34.14453125,36.8828125,34.14453125,37.8828125,35.14453125,37.8828125,35.14453125,37.8828125,35.14453125,37.8828125,35.14453125,37.8828125,36.14453125,37.8828125,36.14453125,37.8828125,37.14453125,38.8828125,37.14453125,38.8828125,38.14453125,38.8828125,38.14453125,38.8828125,39.14453125,38.8828125,39.14453125,38.8828125,40.14453125,38.8828125,40.14453125,38.8828125,41.14453125,38.8828125,42.14453125,38.8828125,43.14453125,37.8828125,43.14453125,36.8828125,44.14453125,36.8828125,45.14453125,36.8828125,45.14453125,35.8828125,46.14453125,35.8828125,46.14453125,34.8828125,47.14453125,34.8828125,47.14453125,33.8828125,48.14453125,33.8828125,48.14453125,32.8828125,49.14453125,32.8828125,49.14453125,31.8828125,50.14453125,31.8828125,50.14453125,31.8828125,50.14453125,31.8828125,50.14453125,31.8828125,51.14453125,31.8828125,51.14453125,31.8828125,51.14453125,31.8828125,51.14453125,31.8828125,51.14453125,31.8828125,51.14453125,31.8828125,52.14453125,31.8828125,52.14453125,31.8828125,53.14453125,32.8828125,54.14453125,32.8828125,54.14453125,32.8828125,54.14453125,32.8828125,55.14453125,33.8828125,55.14453125,33.8828125,55.14453125,33.8828125,55.14453125,33.8828125,56.14453125,33.8828125,56.14453125,33.8828125,56.14453125,33.8828125,56.14453125,33.8828125,57.14453125,33.8828125,57.14453125,33.8828125,58.14453125,33.8828125,59.14453125,33.8828125,60.14453125,33.8828125,60.14453125,33.8828125,61.14453125,33.8828125,61.14453125,33.8828125,61.14453125,33.8828125,62.14453125,33.8828125,62.14453125,33.8828125,62.14453125,33.8828125,62.14453125,33.8828125,62.14453125,33.8828125,63.14453125,33.8828125,63.14453125,33.8828125,63.14453125,33.8828125,63.14453125,33.8828125,64.14453125,32.8828125,64.14453125,32.8828125,64.14453125,32.8828125,64.14453125,32.8828125,65.14453125,32.8828125,65.14453125],""stroke"":""#000000"",""strokeWidth"":2}],""isCustom"":true}";;465789;;
custom-1761819412109;xy-stage;custom;#1e4670;1;3;icons/custom-1761819412109.svg;;xy-stage placeholder;"{""height"":50,""drawingElements"":[{""id"":""element-1761819307097-yj1bh13la"",""type"":""rectangle"",""x"":69,""y"":155.8125,""width"":0,""height"":0,""stroke"":""#000000"",""strokeWidth"":2},{""id"":""element-1761819358062-583gr7uta"",""type"":""text"",""x"":2,""y"":120.8125,""text"":""xy stage"",""fill"":""#000000""}],""isCustom"":true}";;;;
custom-1761819539496;xy stage placeholder;custom;#1e4670;3;1;icons/custom-1761819539496.svg;;xy stage placeholder;"{""height"":50,""drawingElements"":[{""id"":""element-1761819483240-2rlefodle"",""type"":""rectangle"",""x"":2,""y"":3.11456298828125,""width"":234,""height"":74,""stroke"":""#000000"",""strokeWidth"":2},{""id"":""element-1761819499474-6mylladkp"",""type"":""text"",""x"":115,""y"":42.11456298828125,""text"":""xy stage"",""fill"":""#000000""}],""isCustom"":true}";;;;
